TimeStamp,Millis,systemTime,Loadcell
2025-06-24T10:15:35.3229696-04:00,36935322.969599999,2711.7354559999999,26876.389999999999
2025-06-24T10:15:35.3353216-04:00,36935335.321600005,2711.749472,27460.830000000002
2025-06-24T10:15:35.3485440-04:00,36935348.544,2711.7614720000001,27023.759999999998
2025-06-24T10:15:35.3598336-04:00,36935359.8336,2711.7734719999999,26109.400000000001
2025-06-24T10:15:35.3720832-04:00,36935372.0832,2711.785472,25755.790000000001
2025-06-24T10:15:35.3843200-04:00,36935384.32,2711.7974720000002,26166.689999999999
2025-06-24T10:15:35.3965952-04:00,36935396.595200002,2711.8094719999999,26443.310000000001
2025-06-24T10:15:35.4051200-04:00,36935405.120000005,2711.8174720000002,26378.869999999999
2025-06-24T10:15:35.4172416-04:00,36935417.241599999,2711.8314559999999,26251.950000000001
2025-06-24T10:15:35.4296192-04:00,36935429.619199999,2711.8434560000001,26124.290000000001
2025-06-24T10:15:35.4419072-04:00,36935441.907200001,2711.8554559999998,26263.009999999998
2025-06-24T10:15:35.4539904-04:00,36935453.990400001,2711.8674559999999,26488.799999999999
2025-06-24T10:15:35.4662784-04:00,36935466.278400004,2711.8794560000001,26407.139999999999
2025-06-24T10:15:35.4785792-04:00,36935478.5792,2711.8914559999998,26311.5
2025-06-24T10:15:35.4908160-04:00,36935490.816,2711.903456,26067.52
2025-06-24T10:15:35.5032704-04:00,36935503.270400003,2711.9174720000001,25450.830000000002
2025-06-24T10:15:35.5155712-04:00,36935515.571199998,2711.9294719999998,24874.139999999999
2025-06-24T10:15:35.5278208-04:00,36935527.820799999,2711.941472,24282.48
2025-06-24T10:15:35.5399552-04:00,36935539.955200002,2711.9534720000001,23972.25
2025-06-24T10:15:35.5522944-04:00,36935552.294399999,2711.9654719999999,23818.869999999999
2025-06-24T10:15:35.5645824-04:00,36935564.582400002,2711.977472,23301.5
2025-06-24T10:15:35.5768704-04:00,36935576.870400004,2711.9894720000002,23237.75
2025-06-24T10:15:35.5853696-04:00,36935585.369600005,2711.9994879999999,24119.77
2025-06-24T10:15:35.5976832-04:00,36935597.683200002,2712.0114880000001,25609.549999999999
2025-06-24T10:15:35.6097152-04:00,36935609.7152,2712.0234879999998,27356.919999999998
2025-06-24T10:15:35.6221312-04:00,36935622.131200001,2712.035488,28437.52
2025-06-24T10:15:35.6348416-04:00,36935634.841600001,2712.0474880000002,28373.990000000002
2025-06-24T10:15:35.6466944-04:00,36935646.694400005,2712.0594879999999,27616.009999999998
2025-06-24T10:15:35.6588032-04:00,36935658.803199999,2712.071488,26580.529999999999
2025-06-24T10:15:35.6710400-04:00,36935671.039999999,2712.0834880000002,25650.599999999999
2025-06-24T10:15:35.6833024-04:00,36935683.3024,2712.0975039999998,25305.490000000002
2025-06-24T10:15:35.6956672-04:00,36935695.667199999,2712.109504,25353.16
2025-06-24T10:15:35.7079168-04:00,36935707.9168,2712.1215040000002,25409.849999999999
2025-06-24T10:15:35.7202176-04:00,36935720.217600003,2712.1335039999999,25032.48
