FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0,G1
18331,2827.898368,2,37051507.8016,0.0208855928066111,0.0320240726439965
18332,2827.91088,1,37051521.472,0.0532252194675969,0.0680491571911698
18333,2827.92336,2,37051532.8,0.0208181325948215,0.0319322024871515
18334,2827.935872,1,37051545.2672,0.0532456350580069,0.0680784491252363
18335,2827.948352,2,37051557.9904,0.0207528914689461,0.0320280669986419
18336,2827.960864,1,37051570.5216,0.0531808377493143,0.0681587800353279
18337,2827.973376,2,37051582.8864,0.0206632403980152,0.0320138648487915
18338,2827.985856,1,37051595.3536,0.053298893119946,0.068117505037325
18339,2827.998368,2,37051607.808,0.020546516478932,0.0319419664651737
18340,2828.01088,1,37051620.5312,0.0532522923157493,0.0680633593410203
18341,2828.02336,2,37051633.024,0.0205656006177935,0.0319752527538856
18342,2828.035872,1,37051645.504,0.0532456350580069,0.068076673856505
18343,2828.048352,2,37051658.0864,0.0205629377146966,0.0319082363592789
18344,2828.060864,1,37051670.5792,0.0532593933906745,0.0680926512750868
18345,2828.073376,2,37051683.1872,0.0205633815318794,0.0318478772224145
18346,2828.085856,1,37051695.4496,0.0532305452737908,0.0680260786976629
18347,2828.098368,2,37051707.7888,0.0205265447057048,0.0317924000745613
18348,2828.11088,1,37051720.576,0.0532922358622036,0.0680722356846768
18349,2828.12336,2,37051732.8896,0.0204706237406687,0.0318070460415945
18350,2828.135872,1,37051745.5616,0.0532882415075582,0.0681126230483139
18351,2828.148352,2,37051757.8624,0.020477724815594,0.0318057145900461
18352,2828.160864,1,37051770.3936,0.0532789213467189,0.0681774203570066
18353,2828.173376,2,37051782.8608,0.0204053826147933,0.0318114842134228
18354,2828.185856,1,37051795.4432,0.0532656068312341,0.0681681001961672
18355,2828.198368,2,37051807.9616,0.0203499054669401,0.0318301245351015
18356,2828.21088,1,37051820.48,0.0532443036064584,0.0681246061122502
18357,2828.22336,2,37051832.9728,0.0203028608455605,0.0318833825970406
18358,2828.235872,1,37051845.5808,0.0532633877453199,0.0681525665947683
18359,2828.248352,2,37051858.1888,0.020293984501904,0.0317826360965391
18360,2828.260864,1,37051870.5536,0.0532642753796856,0.0681614429384248
18361,2828.273344,2,37051882.8544,0.0202052210653388,0.0316956479287052
18362,2828.285856,1,37051895.5904,0.0532256632847797,0.0682040493879761
18363,2828.298368,2,37051908.16,0.0201945694529509,0.0316264124481844
18364,2828.310848,1,37051920.7168,0.0532629439281371,0.0681681001961672
18365,2828.32336,2,37051933.1456,0.0201373170363664,0.0315749296549765
18366,2828.335872,1,37051945.6128,0.0533255221509156,0.0681352577246381
18367,2828.348352,2,37051957.9136,0.0201315474129896,0.0314533237468822
18368,2828.360864,1,37051970.3424,0.0532993369371289,0.0681436902511118
18369,2828.373344,2,37051982.8608,0.020158620261142,0.0314173745550733
18370,2828.385856,1,37051995.5968,0.0532926796793865,0.0681334824559068
18371,2828.398368,2,37052008.1024,0.0201808111202833,0.0313255043982283
18372,2828.410848,1,37052020.3904,0.0532833595185471,0.0681720945508126
18373,2828.42336,2,37052032.8576,0.0201630584329703,0.0312895552064194
18374,2828.435872,1,37052045.6064,0.0533508197303367,0.0681374768105522
18375,2828.448352,2,37052058.432,0.0201812549374662,0.0313166280545718
18376,2828.460864,1,37052070.4256,0.0533099885495167,0.0681769765398237
18377,2828.473376,2,37052082.944,0.0203294898765301,0.0313809815460815
18378,2828.485856,1,37052095.4368,0.0532487417782867,0.0682049370223418
18379,2828.498368,2,37052108.0832,0.0204111522381701,0.0313907455241037
18380,2828.51088,1,37052120.3712,0.0533317355914752,0.0681823023460176
18381,2828.52336,2,37052132.8896,0.0203596694449622,0.0314195936409874
18382,2828.535872,1,37052145.536,0.0532593933906745,0.0681445778854774
18383,2828.548352,2,37052158.0928,0.0203317089624442,0.0314453350375913
18384,2828.560864,1,37052170.3808,0.0532802527982673,0.068199167398965
18385,2828.573376,2,37052183.0272,0.0202646925678375,0.0314550990156135
18386,2828.585856,1,37052195.5072,0.0533188648931732,0.0681729821851783
18387,2828.598368,2,37052208.064,0.0202567038585466,0.0313814253632644
18388,2828.61088,1,37052220.4288,0.0533188648931732,0.0682147010003639
18389,2828.62336,2,37052232.9984,0.0202859957926131,0.0313636726759513
18390,2828.635872,1,37052245.44,0.0532767022608047,0.0681978359474165
18391,2828.648352,2,37052257.8304,0.0203024170283777,0.0313565716010261
18392,2828.660864,1,37052270.2976,0.0532527361329321,0.0681769765398237
18393,2828.673376,2,37052282.9184,0.0203161753610453,0.0312766845081174
18394,2828.685856,1,37052295.5648,0.0532696011858795,0.0682182515378265
18395,2828.698368,2,37052308.1856,0.020424022936472,0.0312465049396852
18396,2828.71088,1,37052320.6016,0.0532664944655997,0.0681973921302337
18397,2828.72336,2,37052333.12,0.0204018320773307,0.0312642576269983
18398,2828.735872,1,37052345.3824,0.0532642753796856,0.0681476846057572
18399,2828.748352,2,37052358.0672,0.0202966474050009,0.0312358533272974
18400,2828.760864,1,37052370.5728,0.0533095447323339,0.0681223870263361
18401,2828.773376,2,37052382.9888,0.0202464960633416,0.0311683931155079
18402,2828.785856,1,37052395.6736,0.0532877976903754,0.0682302346017628
18403,2828.798368,2,37052408.2688,0.0201901312811227,0.031106702527095
18404,2828.81088,1,37052420.7488,0.0532283261878767,0.0681565609494137
18405,2828.82336,2,37052432.896,0.020138204670732,0.0310956070975244
18406,2828.835872,1,37052445.5552,0.0533246345165499,0.0682533130952698
18407,2828.848352,2,37052458.0224,0.0201169014459564,0.0310876183882335
18408,2828.860864,1,37052470.4256,0.0533446062897771,0.0682031617536105
18409,2828.873344,2,37052483.0208,0.020046334513887,0.0310485624761448
18410,2828.885856,1,37052495.616,0.0532527361329321,0.0682200268065578
18411,2828.898368,2,37052508.1856,0.0200330199984023,0.0310157200046157
18412,2828.910848,1,37052520.6016,0.0532611686594058,0.0682524254609042
18413,2828.92336,2,37052532.9024,0.019987750645754,0.0310055122094107
18414,2828.935872,1,37052545.4208,0.0533339546773893,0.0681472407885744
18415,2828.948352,2,37052557.9648,0.0199886382801197,0.0309345014601585
18416,2828.960864,1,37052570.6624,0.0533006683886773,0.0680713480503111
18417,2828.973344,2,37052583.1296,0.0200330199984023,0.0309451530725464
18418,2828.985856,1,37052595.6352,0.0533175334416247,0.0681419149823805
18419,2828.998368,2,37052608.192,0.0199935202691307,0.0310126132843359
18420,2829.010848,1,37052620.6336,0.0533122076354308,0.0682022741192448
18421,2829.02336,2,37052632.9856,0.0200245874719286,0.0310871745710507
18422,2829.035872,1,37052645.4144,0.0532696011858795,0.0681818585288348
18423,2829.048352,2,37052658.1504,0.0200046156987014,0.0311590729546685
18424,2829.060864,1,37052670.6688,0.0532869100560097,0.0681982797645994
18425,2829.073376,2,37052682.944,0.0200352390843164,0.0312154377368874
18426,2829.085856,1,37052695.5136,0.0532984493027632,0.0682564198155496
18427,2829.098368,2,37052708.1088,0.0200379019874133,0.0312793474112144
18428,2829.110848,1,37052720.7296,0.0532469665095554,0.0681720945508126
18429,2829.12336,2,37052732.9792,0.0200272503750255,0.0312638138098155
18430,2829.135872,1,37052745.4592,0.0532820280669986,0.068263077073292
18431,2829.148352,2,37052758.08,0.0199961831722277,0.0312629261754498
18432,2829.160864,1,37052770.688,0.0532522923157493,0.0682351165907739
18433,2829.173376,2,37052783.232,0.0200179302141862,0.0312469487568681
18434,2829.185856,1,37052795.52,0.0533037751089571,0.0681973921302337
18435,2829.198368,2,37052807.936,0.0201448619284744,0.031150196611012
18436,2829.21088,1,37052820.6336,0.0533002245714945,0.0681938415927711
18437,2829.22336,2,37052833.2032,0.0206019936267853,0.031050781562059
18438,2829.235872,1,37052845.6704,0.0532820280669986,0.0681521227775855
18439,2829.248352,2,37052858.2272,0.0211749616098137,0.031027703068552
18440,2829.260864,1,37052870.72,0.0532567304875776,0.0681605553040591
18441,2829.273376,2,37052883.328,0.02153400971072,0.0309824337159037
18442,2829.285856,1,37052895.4624,0.0532074667802839,0.0681570047665965
18443,2829.298368,2,37052907.9936,0.0216440763720608,0.0309438216209979
18444,2829.31088,1,37052920.5376,0.0532318767253393,0.0681951730443196
18445,2829.32336,2,37052933.2864,0.0215939250304015,0.0309402710835353
18446,2829.335872,1,37052945.6896,0.0532092420490152,0.0682204706237407
18447,2829.348352,2,37052958.1824,0.0216196664270054,0.0308887882903274
18448,2829.360864,1,37052970.4576,0.0532314329081565,0.0681933977755883
18449,2829.373376,2,37052983.3984,0.0216423011033295,0.0308213280785379
18450,2829.385856,1,37052995.6864,0.0532416407033615,0.0681703192820813
18451,2829.398368,2,37053008.1152,0.0215996946537782,0.0308097888317844
18452,2829.41088,1,37053020.6336,0.053110270817245,0.0681490160573057
18453,2829.42336,2,37053033.1392,0.0215016110563737,0.0307605251244907
18454,2829.435872,1,37053045.5424,0.0532181183926717,0.068178751808555
18455,2829.448352,2,37053058.112,0.0215530938495815,0.0307223568467677
18456,2829.460864,1,37053070.6304,0.0532083544146495,0.0681290442840785
18457,2829.473344,2,37053083.1488,0.0215766161602713,0.0307156995890253
18458,2829.485856,1,37053095.6544,0.0532616124765886,0.0681845214319318
18459,2829.498368,2,37053108.1856,0.0214891841752545,0.0307911485101057
18460,2829.51088,1,37053120.768,0.0532553990360291,0.0682089313769872
18461,2829.52336,2,37053133.0688,0.0214412519195093,0.0308248786160005
18462,2829.535872,1,37053145.6896,0.0532465226923726,0.0681641058415218
18463,2829.548352,2,37053158.2464,0.0213005618725535,0.0306637729786346
18464,2829.560864,1,37053170.7136,0.0532540675844806,0.0681920663240398
18465,2829.573344,2,37053183.232,0.021143450589833,0.0306868514721416
18466,2829.585856,1,37053195.7632,0.0531803939321315,0.0681911786896741
18467,2829.598368,2,37053208,0.0210165188755448,0.0306775313113022
18468,2829.610848,1,37053220.4416,0.0532127925864778,0.0681552294978652
18469,2829.62336,2,37053233.2544,0.0209779067806389,0.0306859638377759
18470,2829.635872,1,37053245.7344,0.0532491855954695,0.0681423587995633
18471,2829.648352,2,37053258.2528,0.0208536379694476,0.0306744245910225
18472,2829.660864,1,37053270.7584,0.0532056915115526,0.0681419149823805
18473,2829.673376,2,37053283.0464,0.0207222680833311,0.0307441038887262
18474,2829.685856,1,37053295.5008,0.0532420845205443,0.0681352577246381
18475,2829.698368,2,37053307.9936,0.0207009648585555,0.0307019412563577
18476,2829.710848,1,37053320.7808,0.0532496294126523,0.06810729724212
18477,2829.72336,2,37053333.1584,0.0206210777656468,0.0306393630335792
18478,2829.735872,1,37053345.6768,0.0532327643597049,0.0681694316477157
18479,2829.748352,2,37053358.0032,0.0206206339484639,0.0306992783532607
18480,2829.760864,1,37053370.8672,0.0532735955405249,0.0682226897096548
18481,2829.773376,2,37053383.2704,0.0205522861023087,0.0306584471724407
18482,2829.785856,1,37053395.7376,0.0532207812957686,0.0682027179364276
18483,2829.798368,2,37053408.064,0.0205061291152948,0.0306664358817316
18484,2829.81088,1,37053420.544,0.053321971613453,0.0682053808395246
18485,2829.82336,2,37053433.088,0.0204897078795303,0.0306153969057066
18486,2829.835872,1,37053445.696,0.0531848321039597,0.0682204706237407
18487,2829.848352,2,37053458.2272,0.0203716525088985,0.030568352284327
